minimum FPKM,Sample Frequency,Level,Sensitivity,Precision
0,10%,Base,69,84.8
0,30%,Base,60.5,91.9
0,50%,Base,55,95
0,70%,Base,49.4,96.7
0,90%,Base,41.3,97.9
0.1,10%,Base,44.4,78.3
0.1,30%,Base,41.7,88.9
0.1,50%,Base,39.7,93.5
0.1,70%,Base,37.1,95.9
0.1,90%,Base,32.7,97.5
1,10%,Base,24.6,71.1
1,30%,Base,22.3,82.9
1,50%,Base,21.3,89.3
1,70%,Base,20.5,93.4
1,90%,Base,19.5,96.4
0,10%,Exon,62.4,97.5
0,30%,Exon,53.1,98.7
0,50%,Exon,47,99.1
0,70%,Exon,41.1,99.3
0,90%,Exon,32.9,99.5
0.1,10%,Exon,39.2,95.9
0.1,30%,Exon,36.8,98.2
0.1,50%,Exon,34.9,98.9
0.1,70%,Exon,32.5,99.2
0.1,90%,Exon,28.1,99.5
1,10%,Exon,20.3,92.8
1,30%,Exon,19,96.9
1,50%,Exon,18.4,98.1
1,70%,Exon,18,98.8
1,90%,Exon,17.3,99.3
0,10%,Intron,57.3,99
0,30%,Intron,48.7,99.4
0,50%,Intron,43.5,99.5
0,70%,Intron,38.8,99.6
0,90%,Intron,32.6,99.6
0.1,10%,Intron,43.5,99
0.1,30%,Intron,40.6,99.4
0.1,50%,Intron,38.5,99.5
0.1,70%,Intron,35.7,99.6
0.1,90%,Intron,31.1,99.7
1,10%,Intron,25.6,98.6
1,30%,Intron,23.7,99.2
1,50%,Intron,22.8,99.4
1,70%,Intron,22.1,99.5
1,90%,Intron,21.1,99.6
0,10%,Intron-chain,56.5,94.5
0,30%,Intron-chain,43.4,97.8
0,50%,Intron-chain,35,98.6
0,70%,Intron-chain,27.6,99.1
0,90%,Intron-chain,18.5,99.4
0.1,10%,Intron-chain,21,86.5
0.1,30%,Intron-chain,19.4,95.1
0.1,50%,Intron-chain,18,97.4
0.1,70%,Intron-chain,16.2,98.4
0.1,90%,Intron-chain,12.9,99.1
1,10%,Intron-chain,5.2,61.5
1,30%,Intron-chain,5.1,83.7
1,50%,Intron-chain,5.1,91.2
1,70%,Intron-chain,5,95
1,90%,Intron-chain,4.9,97.7
0,10%,Transcript,57.8,94.4
0,30%,Transcript,44.5,97.6
0,50%,Transcript,36.2,98.5
0,70%,Transcript,28.9,99
0,90%,Transcript,19.9,99.4
0.1,10%,Transcript,19.2,84.9
0.1,30%,Transcript,17.8,94.2
0.1,50%,Transcript,16.5,96.8
0.1,70%,Transcript,15,98.1
0.1,90%,Transcript,12.1,99
1,10%,Transcript,4.7,59.3
1,30%,Transcript,4.6,81.4
1,50%,Transcript,4.6,89.5
1,70%,Transcript,4.5,94.1
1,90%,Transcript,4.4,97.4
0,10%,Locus,57.2,97.2
0,30%,Locus,46.4,98.5
0,50%,Locus,41,98.9
0,70%,Locus,36.2,99.3
0,90%,Locus,29.9,99.6
0.1,10%,Locus,26.9,93.7
0.1,30%,Locus,25.1,96.9
0.1,50%,Locus,23.9,97.9
0.1,70%,Locus,22.5,98.8
0.1,90%,Locus,20.2,99.4
1,10%,Locus,12.8,81.8
1,30%,Locus,12.7,89.5
1,50%,Locus,12.5,93.2
1,70%,Locus,12.4,96.2
1,90%,Locus,12.1,98.3
