Meta-Assembler,Level,Sensitivity,Precision
Cuffcompare,Base,83.9,50.4
Cuffcompare,Exon,79.7,73.4
Cuffcompare,Intron,74.6,93.6
Cuffcompare,Intron-chain,79,46.7
Cuffcompare,Transcript,81.4,44.8
Cuffcompare,Locus,84.4,65.2
Gffcompare,Base,83.9,49.4
Gffcompare,Exon,79.7,69.3
Gffcompare,Intron,74.6,93.6
Gffcompare,Intron-chain,78.7,46.8
Gffcompare,Transcript,81.4,40.1
Gffcompare,Locus,84.5,65.4
TACO,Base,68,62.1
TACO,Exon,45.2,81.3
TACO,Intron,52.2,97.9
TACO,Intron-chain,20.7,65
TACO,Transcript,25.7,48.9
TACO,Locus,64.7,56.2
StringTie-merge,Base,44.1,62.4
StringTie-merge,Exon,33.8,80.6
StringTie-merge,Intron,43.2,95.5
StringTie-merge,Intron-chain,9.9,41.1
StringTie-merge,Transcript,9.4,37.1
StringTie-merge,Locus,23.1,57.6
